episode,timestep,reward
10289,2058000,-146.9548
10299,2060000,-192.8614
10309,2062000,-323.8112
10319,2064000,-232.6639
10329,2066000,-290.3043
10339,2068000,-266.5536
10349,2070000,-260.2785
10359,2072000,-183.0948
10369,2074000,-366.9037
10379,2076000,-241.6217
10389,2078000,-392.3752
10399,2080000,-291.5441
10409,2082000,-275.3682
10419,2084000,-346.4205
10429,2086000,-341.5911
10439,2088000,-450.8939
10449,2090000,-214.4781
10459,2092000,-291.8045
10469,2094000,-286.44
10479,2096000,-341.9742
10489,2098000,-289.3675
10499,2100000,-247.2447
10509,2102000,-242.8277
10519,2104000,-241.5936
10529,2106000,-276.3973
10539,2108000,-306.4548
10549,2110000,-271.0092
10559,2112000,-243.2566
10569,2114000,-412.8048
10579,2116000,-181.9892
10589,2118000,-364.9564
10599,2120000,-379.8537
10609,2122000,-169.4478
10619,2124000,-324.2959
10629,2126000,-265.3305
10639,2128000,-233.6347
10649,2130000,-185.8821
10659,2132000,-364.9667
10669,2134000,-228.0073
10679,2136000,-360.3705
10689,2138000,-203.9204
10699,2140000,-170.0799
10709,2142000,-268.0191
10719,2144000,-241.1477
10729,2146000,-197.7203
10739,2148000,-246.1147
10749,2150000,-245.558
10759,2152000,-182.8078
10769,2154000,-279.4134
10779,2156000,-442.4183
10789,2158000,-157.0653
10799,2160000,-283.3437
10809,2162000,-158.3153
10819,2164000,-352.4102
10829,2166000,-180.6823
10839,2168000,-299.2342
10849,2170000,-334.4356
10859,2172000,-181.6696
10869,2174000,-231.9923
10879,2176000,-515.1839
10889,2178000,-261.8201
10899,2180000,-182.8215
10909,2182000,-290.5006
10919,2184000,-180.7683
10929,2186000,-205.4097
10939,2188000,-279.7596
10949,2190000,-231.129
10959,2192000,-417.0957
10969,2194000,-296.7647
10979,2196000,-367.4516
10989,2198000,-379.463
10999,2200000,-341.6436
11009,2202000,-476.9072
11019,2204000,-221.3595
11029,2206000,-315.8467
11039,2208000,-192.7053
11049,2210000,-331.3049
11059,2212000,-408.4075
11069,2214000,-253.3026
11079,2216000,-241.1099
11089,2218000,-275.5073
11099,2220000,-191.9972
11109,2222000,-257.2725
11119,2224000,-255.4178
11129,2226000,-330.4155
11139,2228000,-320.4971
11149,2230000,-245.1588
11159,2232000,-242.0653
11169,2234000,-195.01
11179,2236000,-259.9949
11189,2238000,-242.8484
11199,2240000,-429.5338
11209,2242000,-281.5286
11219,2244000,-356.6549
11229,2246000,-345.7642
11239,2248000,-294.5281
11249,2250000,-146.6542
11259,2252000,-168.7515
11269,2254000,-329.312
11279,2256000,-428.4357
